Title,Link,Date,Source,Summary,Place
"Heavy rain causes land subsidence in Uttarakhand, poses threat to Kund bridge connecting Kedarnath valley - The New Indian Express",https://news.google.com/rss/articles/CBMi7AFBVV95cUxOVDhQY0lKdlBwY0U5dmlOZ0R2bU01UkYzYkpfRFNjbVcxS3NzOHd6eWtGTTlBcEJteUItNW1HSV9fOW9IRzJPM1VTZXVUamlHUHRuNks3UU1MdE41LWdzWXpUXzc1SDQwNDlOSkx1aUNPcU9mTGhGeWY4enhLTHJ5b1VrWXBISEVBazk2N1YxWk9wUXZMS3NlVl8wd0N2QXRVQ1BYUWJoSEIwSl9CaFVwekt0MnJaR0VleXg3dlpKSW8wUDdjbTZ1Rm5SM0FkYlV2azF0UUpzVmU4VnVvUHh6U0Y4bmxlbktBdFdmRtIB-gFBVV95cUxQUVpxU2xReUN6YXd4QUNwVjNhWHFPTDhnSzdOQmRBXzFzMlI0M3llSGFDSDhDTjBtWEZhOERYWWFSWkFnT1hEXzJhVzdrMFJzTTh0ZHdSLVdTbzhZV0d0Z3JMQTJHdzlaTnk5NzNSdkhlOU5GUk5HU0RodF95UlVGU3lQWU83VFc1SFQyX3FZbjJ1aTVKWEk3T0h2T2NvU05YVzJMWUJUTzVLMUxZT3BfOEFJaUhUTUt5V2NRY2ZUdUhLTG5uTUNlbzZlQWlDVnJHOTV0dFhFamFyR2pxeXQ5WkxScW53VFBoalZXbWQyWWlIeHNNYkVNaW13?oc=5,2024-08-11 22:46:20,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOVDhQY0lKdlBwY0U5dmlOZ0R2bU01UkYzYkpfRFNjbVcxS3NzOHd6eWtGTTlBcEJteUItNW1HSV9fOW9IRzJPM1VTZXVUamlHUHRuNks3UU1MdE41LWdzWXpUXzc1SDQwNDlOSkx1aUNPcU9mTGhGeWY4enhLTHJ5b1VrWXBISEVBazk2N1YxWk9wUXZMS3NlVl8wd0N2QXRVQ1BYUWJoSEIwSl9CaFVwekt0MnJaR0VleXg3dlpKSW8wUDdjbTZ1Rm5SM0FkYlV2azF0UUpzVmU4VnVvUHh6U0Y4bmxlbktBdFdmRtIB-gFBVV95cUxQUVpxU2xReUN6YXd4QUNwVjNhWHFPTDhnSzdOQmRBXzFzMlI0M3llSGFDSDhDTjBtWEZhOERYWWFSWkFnT1hEXzJhVzdrMFJzTTh0ZHdSLVdTbzhZV0d0Z3JMQTJHdzlaTnk5NzNSdkhlOU5GUk5HU0RodF95UlVGU3lQWU83VFc1SFQyX3FZbjJ1aTVKWEk3T0h2T2NvU05YVzJMWUJUTzVLMUxZT3BfOEFJaUhUTUt5V2NRY2ZUdUhLTG5uTUNlbzZlQWlDVnJHOTV0dFhFamFyR2pxeXQ5WkxScW53VFBoalZXbWQyWWlIeHNNYkVNaW13?oc=5"" target=""_blank"">Heavy rain causes land subsidence in Uttarakhand, poses threat to Kund bridge connecting Kedarnath valley</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"28 dead as rains wreak havoc in north, northwest; several Haryana villages inundated - The Hindu",https://news.google.com/rss/articles/CBMi2AFBVV95cUxQTndkX3FIUEZNaTVTSmNBeV9NaXlhdTR5dGxobVhkMFhhYjY2eXVEZXhUYkZZZzQtVXNCcUs4TmF3aGp5bTU2eTY5S2NVVkFNaVAydmItNVlMNUhwMDNidTBETWdoQkZ6a2FWRlA4eGxZSmlDS3VwbEI3aVNpbngtbEtHR081ejc4eDNINFROblZXRXFGVktNbHM2QU5wR0FkcjRyaHJIUS04a09VY3gtQkg3LXRZTV9zMktKazZOTkgzWEFWYjU0QmZWWlVyTVRINEZUSzBYMmzSAd8BQVVfeXFMUER6SzdiU0JkeTNMYVFLWTFqNm9UNGR1ZzVkZktFVzJGaFhWQTdlaEl4Ynpfb0NjVlRTSnI5eHdDRGRzc0RBWVNodkxnOU05cUpKZVYtLWlMZS1kQkdKajFJTV93c0tyTjNpenlMRmxkcUVnUEZlcU1ySEt4UkdIUEN1QmJnY09VOFZYMkNfSWRhZlFfdjJfN0VGWEpuaHhDOVRLam1HS2RLY3E5czVjRjRJNWJfNV9lazJ2XzBIVGVWSi1LTDlsUE1Gdnk0MUtPTmxsUlduRjZDbTVtemtZYw?oc=5,2024-08-12 00:44:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQTndkX3FIUEZNaTVTSmNBeV9NaXlhdTR5dGxobVhkMFhhYjY2eXVEZXhUYkZZZzQtVXNCcUs4TmF3aGp5bTU2eTY5S2NVVkFNaVAydmItNVlMNUhwMDNidTBETWdoQkZ6a2FWRlA4eGxZSmlDS3VwbEI3aVNpbngtbEtHR081ejc4eDNINFROblZXRXFGVktNbHM2QU5wR0FkcjRyaHJIUS04a09VY3gtQkg3LXRZTV9zMktKazZOTkgzWEFWYjU0QmZWWlVyTVRINEZUSzBYMmzSAd8BQVVfeXFMUER6SzdiU0JkeTNMYVFLWTFqNm9UNGR1ZzVkZktFVzJGaFhWQTdlaEl4Ynpfb0NjVlRTSnI5eHdDRGRzc0RBWVNodkxnOU05cUpKZVYtLWlMZS1kQkdKajFJTV93c0tyTjNpenlMRmxkcUVnUEZlcU1ySEt4UkdIUEN1QmJnY09VOFZYMkNfSWRhZlFfdjJfN0VGWEpuaHhDOVRLam1HS2RLY3E5czVjRjRJNWJfNV9lazJ2XzBIVGVWSi1LTDlsUE1Gdnk0MUtPTmxsUlduRjZDbTVtemtZYw?oc=5"" target=""_blank"">28 dead as rains wreak havoc in north, northwest; several Haryana villages inundated</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Monsoon 2024: 28 Dead As Heavy Downpours Lash North, Northwest India; Several Haryana Villages Inundated - LatestLY",https://news.google.com/rss/articles/CBMi5gFBVV95cUxOaXlPaFMxMlBNWUd4eXRHYVh3NmpKdDdMUF9TandTQmpxeks5b2pMamF3SG5pTWp1NnJkb3YwY1ZOdkJXNTZkcTlXc1B0eF9ZR0RudW9Qa3ZQeFFOZXpudnU2SVh6dVR3UUJ4TVZIZW02Vnd0WmoxNUVVbVNFRFhfWHhqWDdtMmlOeDlHdUR4WThoUTJzRFh2RzIwRjRaXzRPNzBQMkdjT0tvSzQ2d2RCSXFFZmN3NFBTaVBpa1VxODFKX0FhZDVSSjVac2RKQnM1cS01TmFQeEN6SmlBNGpvaHo1T2xwUdIB6wFBVV95cUxQSkVPLUV0bkpqNDBtV1ZTSFFqR0Y3VlF1QXE2RFBrcEZfM2ZmbU81cm9LN3hVaE9wSGdKVnlOT2NkOHZqTE5maFlfb3ZFVk9RcUFxLTNZU2tYYzlLczFscllGZWR3SDNydmNQQmdPX3VyS1VfWHFGeFBac09JLTRFM2NZUVZySi1rb3otR1hEWnM2VHBtMHAtdzYybkdxRmtTU3h2ZF9mSDlhejVYa2RjVUVuNDQ0X1h6QXNRSko0RzJ4bmFNY0dPNnRhZjdiS0hJeUtQdWpzZXVkR0x3T3dYVkF1Um5OZlAtWFQw?oc=5,2024-08-11 23:41:45,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxOaXlPaFMxMlBNWUd4eXRHYVh3NmpKdDdMUF9TandTQmpxeks5b2pMamF3SG5pTWp1NnJkb3YwY1ZOdkJXNTZkcTlXc1B0eF9ZR0RudW9Qa3ZQeFFOZXpudnU2SVh6dVR3UUJ4TVZIZW02Vnd0WmoxNUVVbVNFRFhfWHhqWDdtMmlOeDlHdUR4WThoUTJzRFh2RzIwRjRaXzRPNzBQMkdjT0tvSzQ2d2RCSXFFZmN3NFBTaVBpa1VxODFKX0FhZDVSSjVac2RKQnM1cS01TmFQeEN6SmlBNGpvaHo1T2xwUdIB6wFBVV95cUxQSkVPLUV0bkpqNDBtV1ZTSFFqR0Y3VlF1QXE2RFBrcEZfM2ZmbU81cm9LN3hVaE9wSGdKVnlOT2NkOHZqTE5maFlfb3ZFVk9RcUFxLTNZU2tYYzlLczFscllGZWR3SDNydmNQQmdPX3VyS1VfWHFGeFBac09JLTRFM2NZUVZySi1rb3otR1hEWnM2VHBtMHAtdzYybkdxRmtTU3h2ZF9mSDlhejVYa2RjVUVuNDQ0X1h6QXNRSko0RzJ4bmFNY0dPNnRhZjdiS0hJeUtQdWpzZXVkR0x3T3dYVkF1Um5OZlAtWFQw?oc=5"" target=""_blank"">Monsoon 2024: 28 Dead As Heavy Downpours Lash North, Northwest India; Several Haryana Villages Inundated</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",
"Heavy Rains Batter India Causing Disruption From Waterlogging, IMD Forecasts More Downpour — Updates - ABP Live",https://news.google.com/rss/articles/CBMinAJBVV95cUxOQ2xIblM1X0RDWlRlY3BOQkpVNkR2dFZTX0d6WmI2QjJac2ozUEhnQkN5ZGloNkgxX2lpRDd6NjJIZkw2M2hmQURYcm1KbUN3dEw0OFdueVc3eDh1WDNSOE5UbU9sajZQbmtJbVlJS2NhS3E1OGRnZXpiZm12WDdqLTVERTZkWUNfejRJd2E4OHpFLVFoREI4dy1yZHNvSzUzeEdmVWdDZDdnOFloanhjZ2VuSmpXaEZ2U08zeDhKX3lfbUtQVGxwell1cEpQaVoteG5SaXJtV3BndWpUNTlGT3lOQXEzWGxCVW1mNDBxRzVWeTQtMTh3aUluczlSRHc4UjczQ1BISml3REpqVHJWTTFBUDNNYnNQbFNRedIBogJBVV95cUxPdWR2SEh1dHA4VVFucTd2VUcyeUJzOEpvREd2ZVNHekpDZmpfb0IwZ0tMb0R2SnFuaXphQUJuVjE2TWJ4UldxODRTZnkyb0QzdUplUVdhaFBoaTNqVFMzMldfTXZQZXIzNkNPd2dONDlsRXRuNUM5Nk9JVGFzYWkzVHdVT0hOS0JfY0lMOWY5RXdsZ0p0dGY4RWlnX1lyb05lRzNUV2V6Q1pZNDFaeU42aUJqTExMaGNCdkFaaDZZT1hhX3FrSElzNVdTNVAyX3B4RUU3MUJFaXJjTG54a25iWUZXOVJ1UWZveXV1ZmN3SDY5X2ZGTHBaNVBmZEZ3S0hPc00zUTdFUWJhekZOaTB4N01sVVJua3ZvSTBBYjN0WlUxUQ?oc=5,2024-08-11 17:15:39,ABP Live,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxOQ2xIblM1X0RDWlRlY3BOQkpVNkR2dFZTX0d6WmI2QjJac2ozUEhnQkN5ZGloNkgxX2lpRDd6NjJIZkw2M2hmQURYcm1KbUN3dEw0OFdueVc3eDh1WDNSOE5UbU9sajZQbmtJbVlJS2NhS3E1OGRnZXpiZm12WDdqLTVERTZkWUNfejRJd2E4OHpFLVFoREI4dy1yZHNvSzUzeEdmVWdDZDdnOFloanhjZ2VuSmpXaEZ2U08zeDhKX3lfbUtQVGxwell1cEpQaVoteG5SaXJtV3BndWpUNTlGT3lOQXEzWGxCVW1mNDBxRzVWeTQtMTh3aUluczlSRHc4UjczQ1BISml3REpqVHJWTTFBUDNNYnNQbFNRedIBogJBVV95cUxPdWR2SEh1dHA4VVFucTd2VUcyeUJzOEpvREd2ZVNHekpDZmpfb0IwZ0tMb0R2SnFuaXphQUJuVjE2TWJ4UldxODRTZnkyb0QzdUplUVdhaFBoaTNqVFMzMldfTXZQZXIzNkNPd2dONDlsRXRuNUM5Nk9JVGFzYWkzVHdVT0hOS0JfY0lMOWY5RXdsZ0p0dGY4RWlnX1lyb05lRzNUV2V6Q1pZNDFaeU42aUJqTExMaGNCdkFaaDZZT1hhX3FrSElzNVdTNVAyX3B4RUU3MUJFaXJjTG54a25iWUZXOVJ1UWZveXV1ZmN3SDY5X2ZGTHBaNVBmZEZ3S0hPc00zUTdFUWJhekZOaTB4N01sVVJua3ZvSTBBYjN0WlUxUQ?oc=5"" target=""_blank"">Heavy Rains Batter India Causing Disruption From Waterlogging, IMD Forecasts More Downpour — Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Live</font>",
India News | Child Among Two Swept Away in Rivers Swollen by Downpour in Uttarakhand - LatestLY,https://news.google.com/rss/articles/CBMizAFBVV95cUxPU2p4Z3dVbGRvSlByTmE3b01EajJWcTZpTmt3YnR1TFFZTFFfSFZHZ01ERFIySlZVZEhoLUFRcV9LeV90aWN1ZXdsakI4Zl93bWtDQ3BBUUJVWTdxdkowQWNqODhzR2p0RlZvTml2N0o3TExUM1hqQlMxX2xOcHhUSE9aMHFDQkxmcG1pVkpCNTBQd1kxdGp3cTNDRkN3ZDg2ckNHbTRnaW9HTk1iV01IcUdNRXBVZUE0WHpNXzkyX2gySE9sMzNOQUQtck_SAdIBQVVfeXFMTVVXaEdnaE0xM2NzMTdjMmRiZ21sc0ZPbmRCT0JsMW41WFVfYl9QbGgybzhQY0hvWVRYSnlxUHR2c0NsWmp3UTJ3cHpKYTMxWU5GSF94eVNNUnBwcmZteGxvRUZfWE9IVDlHR2dwMWxPVW1hVGJ6M3N4VlpxdXNOZ29rYmw1a2V4dnZpZkV0b204SUhLNENCaU5DNWRtejhaY3ZiQmlNaG9tZWE1RlNYbGl2M2Q3Tm1pdUVnMzRXNlM1YWVZQXNETTM3eUt1dFdtQ1ln?oc=5,2024-08-11 23:50:17,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPU2p4Z3dVbGRvSlByTmE3b01EajJWcTZpTmt3YnR1TFFZTFFfSFZHZ01ERFIySlZVZEhoLUFRcV9LeV90aWN1ZXdsakI4Zl93bWtDQ3BBUUJVWTdxdkowQWNqODhzR2p0RlZvTml2N0o3TExUM1hqQlMxX2xOcHhUSE9aMHFDQkxmcG1pVkpCNTBQd1kxdGp3cTNDRkN3ZDg2ckNHbTRnaW9HTk1iV01IcUdNRXBVZUE0WHpNXzkyX2gySE9sMzNOQUQtck_SAdIBQVVfeXFMTVVXaEdnaE0xM2NzMTdjMmRiZ21sc0ZPbmRCT0JsMW41WFVfYl9QbGgybzhQY0hvWVRYSnlxUHR2c0NsWmp3UTJ3cHpKYTMxWU5GSF94eVNNUnBwcmZteGxvRUZfWE9IVDlHR2dwMWxPVW1hVGJ6M3N4VlpxdXNOZ29rYmw1a2V4dnZpZkV0b204SUhLNENCaU5DNWRtejhaY3ZiQmlNaG9tZWE1RlNYbGl2M2Q3Tm1pdUVnMzRXNlM1YWVZQXNETTM3eUt1dFdtQ1ln?oc=5"" target=""_blank"">India News | Child Among Two Swept Away in Rivers Swollen by Downpour in Uttarakhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",
Haryana: Heavy rains lashes out several parts of Ambala city - ANI News,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNc1ExVkJIZkd1YVAwUE1hbW9mNFVpS19nT3BzMzlZaDY2NzdaYWhueDI4WF9vcmJWX1A0NUk5YmhsVjdtR2JQMktCQm42djM3SEJVclRPLUprcFZrMHVtMExsS1c1NWpnT1dLdU5YR2o0b0MtcWQ4d2lxT041OHF2dE1vVm9zSXV6cGh4b0dSSU5rQ3JaODBrSnF6eV9VaHA2bWU4MlV2bjFpU2pBcHY1SGE1UWM0UkxlR0NfU2Uwbms?oc=5,2024-08-11 12:52:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNc1ExVkJIZkd1YVAwUE1hbW9mNFVpS19nT3BzMzlZaDY2NzdaYWhueDI4WF9vcmJWX1A0NUk5YmhsVjdtR2JQMktCQm42djM3SEJVclRPLUprcFZrMHVtMExsS1c1NWpnT1dLdU5YR2o0b0MtcWQ4d2lxT041OHF2dE1vVm9zSXV6cGh4b0dSSU5rQ3JaODBrSnF6eV9VaHA2bWU4MlV2bjFpU2pBcHY1SGE1UWM0UkxlR0NfU2Uwbms?oc=5"" target=""_blank"">Haryana: Heavy rains lashes out several parts of Ambala city</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",
"Waterlogging Woes In Noida, Gurugram As Heavy Rain Lashes Delhi NCR, IMD Issues Yellow Alert - ABP Live",https://news.google.com/rss/articles/CBMiywFBVV95cUxOcy0wZ2lVcjZLS2toMzlyN194aDE0UUZXenZVMlM2SXNfUG03bGVnN1RzMnRjNE1WUTZqUFRYck40TkhvaGlnSHNzV2lxTXBmeWhCRm9lQlQxNzRnZGVfcEY5aUpZdUdrU3lrVGV4dFBCWkRrRDZSZHdISFE1dGtfTFluWDVSLTlwcnJCRi11d0lSaFVjU1U2Y2xIcUV6Yk9CaTFSQVJCVkJ6QURtNk53MmNRMFhkZnM2b3BfYkREaDRfTG1IbVplZDd1VdIB0AFBVV95cUxQNUpuSXFIbnJZM1dtU2doS0dXXzlFWk10blFjb3JVSWlnV1ItamVPa2ZJWkdOdzE3aXR5NU5DcmJsek1JX1FzT1RramxHaWU5RWFFaC1ORVhud3hqRGdsQ2VENkxmQjJMak9ycVNlNW9hUkIteEdVV1JNYTVmcVZJX2N1WWY5Tml6ZENBb21NQ1F5R002a3RYdWU4M251OE1yZFhTeks5cjZSSW5BbzZ2N1d4eU9ydGZWMV92d1hZeEdhVm9DUFdYd05MdDZkOHpF?oc=5,2024-08-11 20:24:38,ABP Live,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOcy0wZ2lVcjZLS2toMzlyN194aDE0UUZXenZVMlM2SXNfUG03bGVnN1RzMnRjNE1WUTZqUFRYck40TkhvaGlnSHNzV2lxTXBmeWhCRm9lQlQxNzRnZGVfcEY5aUpZdUdrU3lrVGV4dFBCWkRrRDZSZHdISFE1dGtfTFluWDVSLTlwcnJCRi11d0lSaFVjU1U2Y2xIcUV6Yk9CaTFSQVJCVkJ6QURtNk53MmNRMFhkZnM2b3BfYkREaDRfTG1IbVplZDd1VdIB0AFBVV95cUxQNUpuSXFIbnJZM1dtU2doS0dXXzlFWk10blFjb3JVSWlnV1ItamVPa2ZJWkdOdzE3aXR5NU5DcmJsek1JX1FzT1RramxHaWU5RWFFaC1ORVhud3hqRGdsQ2VENkxmQjJMak9ycVNlNW9hUkIteEdVV1JNYTVmcVZJX2N1WWY5Tml6ZENBb21NQ1F5R002a3RYdWU4M251OE1yZFhTeks5cjZSSW5BbzZ2N1d4eU9ydGZWMV92d1hZeEdhVm9DUFdYd05MdDZkOHpF?oc=5"" target=""_blank"">Waterlogging Woes In Noida, Gurugram As Heavy Rain Lashes Delhi NCR, IMD Issues Yellow Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Live</font>",
Uttarakhand weather update: Rain forecast for 6 districts on August 12 - Uttarakhand News Network,https://news.google.com/rss/articles/CBMixwFBVV95cUxQY3B6SHFzbkVEOUVjZWhYdWZ3bFlXNzItTnZYMmZVelZoMkVVWE85TXNMMXNneTRVY0dVblhSOGwzRU1WR1R2YWxuNGdaenhjWnJwQUFZUnFVX1RRNU40bGpYVm5BNTF4S3BaWWc1SmFwVE9Sc1hnU3hXYzgyQ05udEZnNTNmVk95V054NUE1Rzc5U011enNhTXBrMlBEVTllbDZsalhiNC1zZHhULWE4a0c3eGpiMFl4RTU5UXJXVmJ4NnFqV3dV0gHMAUFVX3lxTE4yRTdDRGYtcU1tU1A0Q0lCTktDX09ZSmxKeTJGMzhoalBPalpKMS1iWHRiMUhEdzJ5eDlOLUdtdEVINkxmVFFzZTcwUFNmWDR0dURna3prVzhLS1NYRHZwcGI4YWhESnhZSWRrd0syYU84N3BuU2V2QzNpbm82RGh3ajhWYkJjWFc0NTJpYXBObndydXprRjhsdlFlS1FqbTZfaUtsMDhmQlhSS1UwVTZHZmVUZTBaS2tWRnl6YVQwbjRtcGU4alRUS25hQQ?oc=5,2024-08-12 08:40:12,Uttarakhand News Network,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQY3B6SHFzbkVEOUVjZWhYdWZ3bFlXNzItTnZYMmZVelZoMkVVWE85TXNMMXNneTRVY0dVblhSOGwzRU1WR1R2YWxuNGdaenhjWnJwQUFZUnFVX1RRNU40bGpYVm5BNTF4S3BaWWc1SmFwVE9Sc1hnU3hXYzgyQ05udEZnNTNmVk95V054NUE1Rzc5U011enNhTXBrMlBEVTllbDZsalhiNC1zZHhULWE4a0c3eGpiMFl4RTU5UXJXVmJ4NnFqV3dV0gHMAUFVX3lxTE4yRTdDRGYtcU1tU1A0Q0lCTktDX09ZSmxKeTJGMzhoalBPalpKMS1iWHRiMUhEdzJ5eDlOLUdtdEVINkxmVFFzZTcwUFNmWDR0dURna3prVzhLS1NYRHZwcGI4YWhESnhZSWRrd0syYU84N3BuU2V2QzNpbm82RGh3ajhWYkJjWFc0NTJpYXBObndydXprRjhsdlFlS1FqbTZfaUtsMDhmQlhSS1UwVTZHZmVUZTBaS2tWRnl6YVQwbjRtcGU4alRUS25hQQ?oc=5"" target=""_blank"">Uttarakhand weather update: Rain forecast for 6 districts on August 12</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Uttarakhand News Network</font>",
Monsoon Fury: Deadly Rain Havoc Strikes North and Northwest India - Devdiscourse,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWk5GVkRQc2FETkpMZkxqMmJScTRKSGZVZzlMRzNMYk9aYmNwRFd6azh2cEtTWk9rQjVkWkNnVDEzYzZBT0tMTUc5bXp5S1BjRlJqc25IVmplbk4zNmQ4Z3NZbXN0ZXpDNk5YR09RRENfYkEwNUpKNnRKUzRYcXBNUUxZTWp5am9jTlM5QS03MU5TZ0tRX2VWeWhQLTc2WmFGdV93SkxxY3NGZ200RnVFaUx4eFVEZmlScFRYTmVibHJFbWlqSXJZetIBzgFBVV95cUxQWUVLU21RNjF1cmNJUzFVVVhiOFFmWXB2TkhMTW9fRDRkeW04M3o1Z1YwQ1FRM2pBWkItNFp3WEFYVWtweVBDUGg0UEsyUTd3eXkwMGJvRl9vdzhmQk9xR2h0aHpleW1kcTZpSnVScFBZU0J6emtzcHZnWk4yWjdXUXdWOGVMTnFyMkg2Q2dfSnJtVGotRWVUZ1VVNHVldnowMnZRdkZsbUhiRi0wM2Y1Xzg0T1hpTDktYkhiQlM0SFVrY2VzLV9KaDV1cy14QQ?oc=5,2024-08-11 22:25:56,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWk5GVkRQc2FETkpMZkxqMmJScTRKSGZVZzlMRzNMYk9aYmNwRFd6azh2cEtTWk9rQjVkWkNnVDEzYzZBT0tMTUc5bXp5S1BjRlJqc25IVmplbk4zNmQ4Z3NZbXN0ZXpDNk5YR09RRENfYkEwNUpKNnRKUzRYcXBNUUxZTWp5am9jTlM5QS03MU5TZ0tRX2VWeWhQLTc2WmFGdV93SkxxY3NGZ200RnVFaUx4eFVEZmlScFRYTmVibHJFbWlqSXJZetIBzgFBVV95cUxQWUVLU21RNjF1cmNJUzFVVVhiOFFmWXB2TkhMTW9fRDRkeW04M3o1Z1YwQ1FRM2pBWkItNFp3WEFYVWtweVBDUGg0UEsyUTd3eXkwMGJvRl9vdzhmQk9xR2h0aHpleW1kcTZpSnVScFBZU0J6emtzcHZnWk4yWjdXUXdWOGVMTnFyMkg2Q2dfSnJtVGotRWVUZ1VVNHVldnowMnZRdkZsbUhiRi0wM2Y1Xzg0T1hpTDktYkhiQlM0SFVrY2VzLV9KaDV1cy14QQ?oc=5"" target=""_blank"">Monsoon Fury: Deadly Rain Havoc Strikes North and Northwest India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",
Uttarakhand weather update: Rains forecast in 10 districts of the state - Uttarakhand News Network,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPX242Y0loZW1HZmJjdGthU2labEI2N0REUzVtY1BZNnFaTHVpdWxGZFRVczNWbTVOTU1GQ0VYZVZvc1Q1cXVObjJ3aEZKZWlueEZDUjdBNG1NaWF1R2o3QlRBX2VydXdnVUkzdDlMcVNxcVF1MWRlODB1MnhFeFJsdUhLQzVvMVJCVU1mUDNuSXhRVllmQ3h5MzZodTlGTzNRX0N3MVc5eEhKUlhnaGowZGhkZEswcEtSN2lMN3ZlSHE0UVRuWGlNdtIBzgFBVV95cUxNOGNJQXFiN2tZV1Vxa0thRHlaQXZRbkM2NHU1YnYyaVUyWkpZb2IwVnRFRUJiSDJCOFNja21RbzAwN2RSV3psWERhWENlYmNqYl9Ga25uUzZ1dlM2eWVEUzZLbC1KQjU5bGNhZVRCNmxuZ3gxRzBKUnBoNk9LNklVeVBrUzNHbVdpYWxtamgzOTl3UFpYRm96blZ0VUlIOW9pSDAyQlpoc05zZlRMY0NHa1R1WTEwRHdfZDRHZlJTeWZjaUxnT1JLMFVlRVRIUQ?oc=5,2024-08-11 16:52:43,Uttarakhand News Network,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPX242Y0loZW1HZmJjdGthU2labEI2N0REUzVtY1BZNnFaTHVpdWxGZFRVczNWbTVOTU1GQ0VYZVZvc1Q1cXVObjJ3aEZKZWlueEZDUjdBNG1NaWF1R2o3QlRBX2VydXdnVUkzdDlMcVNxcVF1MWRlODB1MnhFeFJsdUhLQzVvMVJCVU1mUDNuSXhRVllmQ3h5MzZodTlGTzNRX0N3MVc5eEhKUlhnaGowZGhkZEswcEtSN2lMN3ZlSHE0UVRuWGlNdtIBzgFBVV95cUxNOGNJQXFiN2tZV1Vxa0thRHlaQXZRbkM2NHU1YnYyaVUyWkpZb2IwVnRFRUJiSDJCOFNja21RbzAwN2RSV3psWERhWENlYmNqYl9Ga25uUzZ1dlM2eWVEUzZLbC1KQjU5bGNhZVRCNmxuZ3gxRzBKUnBoNk9LNklVeVBrUzNHbVdpYWxtamgzOTl3UFpYRm96blZ0VUlIOW9pSDAyQlpoc05zZlRMY0NHa1R1WTEwRHdfZDRHZlJTeWZjaUxnT1JLMFVlRVRIUQ?oc=5"" target=""_blank"">Uttarakhand weather update: Rains forecast in 10 districts of the state</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Uttarakhand News Network</font>",
