Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD Warns of Heavy Rains in South & Northeast, Heat Wave in Rajasthan - The Indian Awaaz",https://news.google.com/rss/articles/CBMimgFBVV95cUxQRUR0cGJUejgzTjQycFlNZkVPS3pJZ1pLdXpHczlLdXE2NjhBdThnVlY5ay1vZ010VEdrUFdIQ2lxLTFrSUZaSlZZeF9WZzRQYkw4TDZIMlVRZWE0MjN5VWMtOXdyeENJb09HWlYwRlp2LWVzYTVsd2JOMEstbTBPdWhhQkRJZHYyUmI2MEdzN2RPaGl4bFJ6RVR3?oc=5,2025-05-18 21:45:25,The Indian Awaaz,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQRUR0cGJUejgzTjQycFlNZkVPS3pJZ1pLdXpHczlLdXE2NjhBdThnVlY5ay1vZ010VEdrUFdIQ2lxLTFrSUZaSlZZeF9WZzRQYkw4TDZIMlVRZWE0MjN5VWMtOXdyeENJb09HWlYwRlp2LWVzYTVsd2JOMEstbTBPdWhhQkRJZHYyUmI2MEdzN2RPaGl4bFJ6RVR3?oc=5"" target=""_blank"">IMD Warns of Heavy Rains in South & Northeast, Heat Wave in Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Awaaz</font>",Heatwave,or
"Delhi: IMD issues orange alert for heatwaves, dust storms - The New Indian Express",https://news.google.com/rss/articles/CBMiswFBVV95cUxPVFkzaHZ1Rk1uZ0ktTkdVdTJEeFNKN29TWVh3X3U5YXhLemdHYTZmQ3BrbEJkR3FGVzFpcmZkOFd6dnRkX1dhTUt6YWNwcTVVa2JGWVBtLVRKV0FRb2hDOU9TbzV5X2JlckpUOXRMdm9XQVNXUjhPQ0NtWmxPQWxLTUlkMEhfSlYwN1RSSUd6NjduU1JEVjh2OHRsOF9mbnVUaGNwY2VCc19lSXVlUmJqSTFzWdIBwAFBVV95cUxOSkpGRkRBVnJMT3J4LTA3cjJNVGxQQ3BpVDNkNHhZdXpsbC1BTmstZGF5Y2otSlViMmJtY3FyWnpMRWFqV2dqWEE2T0g1MW5ld09EZmdKV2JER0ZQV0hSRkUxc01zV2JBNG1mR3NLR0dXTnNjWXdqTjhzYjJtcWZpV0IxdF8tMDlwYmROUWt1OVRRUVNKN1Nwbk9JMEs0OHNYZ09vRnZacmtQSC1fbGZKeWhQb0JhU1dHZkxtdUk0ZnM?oc=5,2025-05-19 07:55:31,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPVFkzaHZ1Rk1uZ0ktTkdVdTJEeFNKN29TWVh3X3U5YXhLemdHYTZmQ3BrbEJkR3FGVzFpcmZkOFd6dnRkX1dhTUt6YWNwcTVVa2JGWVBtLVRKV0FRb2hDOU9TbzV5X2JlckpUOXRMdm9XQVNXUjhPQ0NtWmxPQWxLTUlkMEhfSlYwN1RSSUd6NjduU1JEVjh2OHRsOF9mbnVUaGNwY2VCc19lSXVlUmJqSTFzWdIBwAFBVV95cUxOSkpGRkRBVnJMT3J4LTA3cjJNVGxQQ3BpVDNkNHhZdXpsbC1BTmstZGF5Y2otSlViMmJtY3FyWnpMRWFqV2dqWEE2T0g1MW5ld09EZmdKV2JER0ZQV0hSRkUxc01zV2JBNG1mR3NLR0dXTnNjWXdqTjhzYjJtcWZpV0IxdF8tMDlwYmROUWt1OVRRUVNKN1Nwbk9JMEs0OHNYZ09vRnZacmtQSC1fbGZKeWhQb0JhU1dHZkxtdUk0ZnM?oc=5"" target=""_blank"">Delhi: IMD issues orange alert for heatwaves, dust storms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Heatwave,en
Daily weather tracker: Heat wave conditions very likely in isolated pockets of Jammu & Kashmir on May 18 - Down To Earth,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPVVp2RXRnbDU2RjZ1Nkx1Q2V0TFBaZHdqZi1KRGhZZGQ3SVRmSW4ydU9lOWMyUGRrUnJGa050NEZ2S3BJWkNxd3VtYllOSzJ4amdYS0R1XzZIUnFGeW1PYldOc3I0bWdicndESHVTWmRnWUR4MmJVU0NCS1A3bHZfVjloN2VfNnljSndRTnpDTk1pWTFFSU9HUF8zSnZ3bldSbWN5ZThJQ1pfQjNhM2NBNjBjbjh5V2UtNkoxblJvb05xT1NRaEs3NXEtRGhiSlItOS1ZVEpXSVBBTWhjWjZfUdIB7gFBVV95cUxPYkduWUo0dGc3UzFjaEZTSHlEYmU5MmNIcHhsOHZUUE5ScDlQWl9oYmxEQ2lZeXc5eW1Nb01qVXpKQnhjcllINVA5MjNnNGlhbVdVN0dZQ2VLQjg0eWw0U2tET1d5N0pjUDJ2XzZWdzY4cDU1LVdGNFRTX0VSeXFNenlwVEdBSUFXWmlwQUtOM25sWU56eFdmclhqRWxINDZGY2U4QVNoTVJNUmJWeGtuQXVRRGNZNmJPc2RnUFBzY05fNEdsVHoxWi1DVmxCSTVucDc2QkQtMWFNWjhmUVZNTGc3a09JQ0p4SEozWGxR?oc=5,2025-05-18 16:32:48,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPVVp2RXRnbDU2RjZ1Nkx1Q2V0TFBaZHdqZi1KRGhZZGQ3SVRmSW4ydU9lOWMyUGRrUnJGa050NEZ2S3BJWkNxd3VtYllOSzJ4amdYS0R1XzZIUnFGeW1PYldOc3I0bWdicndESHVTWmRnWUR4MmJVU0NCS1A3bHZfVjloN2VfNnljSndRTnpDTk1pWTFFSU9HUF8zSnZ3bldSbWN5ZThJQ1pfQjNhM2NBNjBjbjh5V2UtNkoxblJvb05xT1NRaEs3NXEtRGhiSlItOS1ZVEpXSVBBTWhjWjZfUdIB7gFBVV95cUxPYkduWUo0dGc3UzFjaEZTSHlEYmU5MmNIcHhsOHZUUE5ScDlQWl9oYmxEQ2lZeXc5eW1Nb01qVXpKQnhjcllINVA5MjNnNGlhbVdVN0dZQ2VLQjg0eWw0U2tET1d5N0pjUDJ2XzZWdzY4cDU1LVdGNFRTX0VSeXFNenlwVEdBSUFXWmlwQUtOM25sWU56eFdmclhqRWxINDZGY2U4QVNoTVJNUmJWeGtuQXVRRGNZNmJPc2RnUFBzY05fNEdsVHoxWi1DVmxCSTVucDc2QkQtMWFNWjhmUVZNTGc3a09JQ0p4SEozWGxR?oc=5"" target=""_blank"">Daily weather tracker: Heat wave conditions very likely in isolated pockets of Jammu & Kashmir on May 18</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
"Thunderstorm, Heatwave Alert Issued Across Odisha Till May 23: IMD - Ommcom News",https://news.google.com/rss/articles/CBMiogFBVV95cUxPelMzOFpUODcyWmNPRzVXa0Y3RXB0YU83bTNmZnFQRHM0dzJ6X2dWNmI5Z2VOUUNqLUZPYmY0c2ZCcTE4RW1fREM4djB1MktPdEtwcE1uektmSzVGUWtqM1ZQc0VCWTZYNnREV1MzaGczNFBfRHJuR3QxdzBJd2JSUU5ZRnBzNjltT0JLcENELV9YdWQxRTVPTWQ5Q25SR2FlbWc?oc=5,2025-05-18 17:12:18,Ommcom News,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPelMzOFpUODcyWmNPRzVXa0Y3RXB0YU83bTNmZnFQRHM0dzJ6X2dWNmI5Z2VOUUNqLUZPYmY0c2ZCcTE4RW1fREM4djB1MktPdEtwcE1uektmSzVGUWtqM1ZQc0VCWTZYNnREV1MzaGczNFBfRHJuR3QxdzBJd2JSUU5ZRnBzNjltT0JLcENELV9YdWQxRTVPTWQ5Q25SR2FlbWc?oc=5"" target=""_blank"">Thunderstorm, Heatwave Alert Issued Across Odisha Till May 23: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ommcom News</font>",Heatwave,en
"IMD Warns of Heavy Rains in South & Northeast, Heat Wave in Rajasthan - The Indian Awaaz",https://news.google.com/rss/articles/CBMimgFBVV95cUxQRUR0cGJUejgzTjQycFlNZkVPS3pJZ1pLdXpHczlLdXE2NjhBdThnVlY5ay1vZ010VEdrUFdIQ2lxLTFrSUZaSlZZeF9WZzRQYkw4TDZIMlVRZWE0MjN5VWMtOXdyeENJb09HWlYwRlp2LWVzYTVsd2JOMEstbTBPdWhhQkRJZHYyUmI2MEdzN2RPaGl4bFJ6RVR3?oc=5,2025-05-18 21:45:25,The Indian Awaaz,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQRUR0cGJUejgzTjQycFlNZkVPS3pJZ1pLdXpHczlLdXE2NjhBdThnVlY5ay1vZ010VEdrUFdIQ2lxLTFrSUZaSlZZeF9WZzRQYkw4TDZIMlVRZWE0MjN5VWMtOXdyeENJb09HWlYwRlp2LWVzYTVsd2JOMEstbTBPdWhhQkRJZHYyUmI2MEdzN2RPaGl4bFJ6RVR3?oc=5"" target=""_blank"">IMD Warns of Heavy Rains in South & Northeast, Heat Wave in Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Awaaz</font>",Heatwave,en
"IMD: Northeast India to witness thunderstorms, lightning & gusty winds during next 7 days - NKTV",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQ2ptbGlGZHZXMXF2OHM4SEhQQlVFMDJheFNsTkpDSzFmVEJueDl2eE5jZjROdlpRODRuVWVpODFXV0xrbXh2OUhwNHJaSnZoSDNjX3dwZnd0NG1ZdWFsTS1vNG14bWZKRThwZnZ3aUgxQXVRMkhVR29TTUpHQ25qN2Mxa1RvcTExZHpEWlZzMDNjSXFBQ1VmV0oyZGs2ei1CcmVXT2g1eUdEQQ?oc=5,2025-05-18 19:11:40,NKTV,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQ2ptbGlGZHZXMXF2OHM4SEhQQlVFMDJheFNsTkpDSzFmVEJueDl2eE5jZjROdlpRODRuVWVpODFXV0xrbXh2OUhwNHJaSnZoSDNjX3dwZnd0NG1ZdWFsTS1vNG14bWZKRThwZnZ3aUgxQXVRMkhVR29TTUpHQ25qN2Mxa1RvcTExZHpEWlZzMDNjSXFBQ1VmV0oyZGs2ei1CcmVXT2g1eUdEQQ?oc=5"" target=""_blank"">IMD: Northeast India to witness thunderstorms, lightning & gusty winds during next 7 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NKTV</font>",Heatwave,en
Weather Today: India braces for a wet week as IMD predicts heavy rains across the country until Saturday - The Economic Times,https://news.google.com/rss/articles/CBMi_AFBVV95cUxOMzNCNlo3RWhhd3B2elZlMTZRbnZMbjJ4dGhKbkRwclo4bnNPTWVkb19GZ3R0T0JCOHVXZVlzQl9UZUJTU2Y3aWRGRkcwZnFEb1Q4VTltWk9zU2JDVHp3ZVpqR3M2RnJJejBaMEtMNzBCSWhTUXdES1NpNGtFTjZITGQzeUh1bWNwZnRsQVpNSFZSRkF5N2d2N3NyOTAtbWZzNVF3RXJFWDd4RnIyVXhsTEZjajBzell5SFU0QnhjRVloTTNTUHByOERKbmphNDQzYjB5Q21MOVJIazdNekZkSW84LWxOSElBRDFOMGF6akgxZFZabTl2TElHV1TSAYICQVVfeXFMTmQtejJJSTNwaTlUNnhxSlQzRUU3N3FDWUNUQ2tyOE5wM0lJX056aWRJenpMbU9lQ2Z0b2Z1NjhMNGQyc2FoLTVPeDYwb1BiRk4zNU8tZjdCSzRuTU96dWRsLXF0eW10RWtCQlVhUWZMTUZGa25NbkItREVRSE5ZbGlJSS10bmFySXFieFV1RU1RaFRDQy03bW5aZl8tbzUzcDh2MmNCdE9XNzloOTg4TnNtMkZ5RDdFcFNLWV9KQzNnQ3FZR0M1cXJ0N3ZVYlFHSlk1VS1haXJ4RjhwY1pUYkNLVk44ZnpNMnFUODBhYnZ6ei1lazA3YlNnTU5Kc0JiUU9n?oc=5,2025-05-19 08:22:29,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxOMzNCNlo3RWhhd3B2elZlMTZRbnZMbjJ4dGhKbkRwclo4bnNPTWVkb19GZ3R0T0JCOHVXZVlzQl9UZUJTU2Y3aWRGRkcwZnFEb1Q4VTltWk9zU2JDVHp3ZVpqR3M2RnJJejBaMEtMNzBCSWhTUXdES1NpNGtFTjZITGQzeUh1bWNwZnRsQVpNSFZSRkF5N2d2N3NyOTAtbWZzNVF3RXJFWDd4RnIyVXhsTEZjajBzell5SFU0QnhjRVloTTNTUHByOERKbmphNDQzYjB5Q21MOVJIazdNekZkSW84LWxOSElBRDFOMGF6akgxZFZabTl2TElHV1TSAYICQVVfeXFMTmQtejJJSTNwaTlUNnhxSlQzRUU3N3FDWUNUQ2tyOE5wM0lJX056aWRJenpMbU9lQ2Z0b2Z1NjhMNGQyc2FoLTVPeDYwb1BiRk4zNU8tZjdCSzRuTU96dWRsLXF0eW10RWtCQlVhUWZMTUZGa25NbkItREVRSE5ZbGlJSS10bmFySXFieFV1RU1RaFRDQy03bW5aZl8tbzUzcDh2MmNCdE9XNzloOTg4TnNtMkZ5RDdFcFNLWV9KQzNnQ3FZR0M1cXJ0N3ZVYlFHSlk1VS1haXJ4RjhwY1pUYkNLVk44ZnpNMnFUODBhYnZ6ei1lazA3YlNnTU5Kc0JiUU9n?oc=5"" target=""_blank"">Weather Today: India braces for a wet week as IMD predicts heavy rains across the country until Saturday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Heatwave,en
"Rain, thunderstorm warning issued for several districts of Odisha till May 23 - Odisha TV",https://news.google.com/rss/articles/CBMitwFBVV95cUxOc3k4RHlMakdnM1BPR1doZVBvUFhBdGkyMjNYRm9uTV9kU1ZOTTVDTFZSSEJ1SjBGT3RVelpEdy1FQ1BVV3BSSlQ5WHRjZmc1V3BkMnc1akFMbFRYbUZDYmNsejhOS1NHOGduYmROVDFOWmxIVUhjVmJUSkpSeXpKWHRjcmFyUGNheFNOY2RtTTJzSERkQm85MEVVVzNodDcwdjNfelJseDE2ZElJVWxXUHlOYURTeWvSAbwBQVVfeXFMTzkxQVhGZW84YklGZkl5a2lKblpHMlZoeTBpOWtfT2ZMS0VGN1NjVFhSbU8weVhoemRGaS1XdXJlX3p0TWZObEZpU0lLYUxwdUhvT0hITU9HTFpyVjlEbE92ZnVaSVphem1FcEdJb0c4OGZHTlNWZEZ3WTduOWFXZENOZ3d6NjFJcTRJWU5rQVpKQXhZQkhaSF9sVldPSDdqVzFZU0puQlkxRUdNVWRfeVZHNjNGS3MxS3k3bU4?oc=5,2025-05-19 08:24:00,Odisha TV,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOc3k4RHlMakdnM1BPR1doZVBvUFhBdGkyMjNYRm9uTV9kU1ZOTTVDTFZSSEJ1SjBGT3RVelpEdy1FQ1BVV3BSSlQ5WHRjZmc1V3BkMnc1akFMbFRYbUZDYmNsejhOS1NHOGduYmROVDFOWmxIVUhjVmJUSkpSeXpKWHRjcmFyUGNheFNOY2RtTTJzSERkQm85MEVVVzNodDcwdjNfelJseDE2ZElJVWxXUHlOYURTeWvSAbwBQVVfeXFMTzkxQVhGZW84YklGZkl5a2lKblpHMlZoeTBpOWtfT2ZMS0VGN1NjVFhSbU8weVhoemRGaS1XdXJlX3p0TWZObEZpU0lLYUxwdUhvT0hITU9HTFpyVjlEbE92ZnVaSVphem1FcEdJb0c4OGZHTlNWZEZ3WTduOWFXZENOZ3d6NjFJcTRJWU5rQVpKQXhZQkhaSF9sVldPSDdqVzFZU0puQlkxRUdNVWRfeVZHNjNGS3MxS3k3bU4?oc=5"" target=""_blank"">Rain, thunderstorm warning issued for several districts of Odisha till May 23</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha TV</font>",Heatwave,en
Weather Today: Extreme Heat and Storm Alerts Across Major Indian Cities | May 2025 - Hindustan Herald,https://news.google.com/rss/articles/CBMia0FVX3lxTFBKZTdjQzUwbndjWXFhbGFtaEo0cDhWV2N4YVBaNzU1WmRvSl9Qbk82c1YyZHl2LTNqdzB4VHBGYzNFbzFOMUttaUhEcmNnZ0NiS1ZMZ2lGY08zbldOVFUwVTJ5VDhsSTlqQ1Bv?oc=5,2025-05-19 06:31:15,Hindustan Herald,"<a href=""https://news.google.com/rss/articles/CBMia0FVX3lxTFBKZTdjQzUwbndjWXFhbGFtaEo0cDhWV2N4YVBaNzU1WmRvSl9Qbk82c1YyZHl2LTNqdzB4VHBGYzNFbzFOMUttaUhEcmNnZ0NiS1ZMZ2lGY08zbldOVFUwVTJ5VDhsSTlqQ1Bv?oc=5"" target=""_blank"">Weather Today: Extreme Heat and Storm Alerts Across Major Indian Cities | May 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Herald</font>",Heatwave,en
"Pakhala Bhata to Sol Kadhi: Regional Indian summer foods that cool, nourish, and delight - Odisha TV",https://news.google.com/rss/articles/CBMixgFBVV95cUxPRU55OFJhYWJQcy1qYjlxTDhEZmxfVXZ6Y0Q0SVpzekdKZV8zSkFHQ2p1OUg4V0dwUHlFdm5wLVlIQ1JWV21XeXlLREhBSUhQSUppRVRrTkRXMFNsZFFFSDJ0VVlHODVXanpHWGtaU2prN29mdXVwUVRwS1hFSUpzdE45dk1XVzBQOFFySDJaa3ZkU1Y0ZjdGby1saVU5ZDB3emhneHNEMXRqSWlxYVhJWnBYc18wNG9lVnV2T0xETUxtTldlcXfSAcsBQVVfeXFMTW5rZTAzb3cxTFl5TTZuRWdFb0djYnZqRmJ5RERxMEd6WC1FTnIyUUQyb0d4V2trbXNUdk1JSEtqbElHOU9kQ1BFZFozNzhPYXFDNVZhUTlNTTNLbmdzMlloV3BrOXNrVmNpSnRQUHVWQ05sUXV2cmo0SkRoRDhPbXR4Q1gxbHNUdW9EVldRVWxmVkx6QWljUE1HZzRkcmlydDA4SWVma1FhcWg5c0Q0ZDVrcGp3bUpMYy0zR1FsdDhkd0ZqN3lvNE1Cdlk?oc=5,2025-05-18 14:30:00,Odisha TV,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPRU55OFJhYWJQcy1qYjlxTDhEZmxfVXZ6Y0Q0SVpzekdKZV8zSkFHQ2p1OUg4V0dwUHlFdm5wLVlIQ1JWV21XeXlLREhBSUhQSUppRVRrTkRXMFNsZFFFSDJ0VVlHODVXanpHWGtaU2prN29mdXVwUVRwS1hFSUpzdE45dk1XVzBQOFFySDJaa3ZkU1Y0ZjdGby1saVU5ZDB3emhneHNEMXRqSWlxYVhJWnBYc18wNG9lVnV2T0xETUxtTldlcXfSAcsBQVVfeXFMTW5rZTAzb3cxTFl5TTZuRWdFb0djYnZqRmJ5RERxMEd6WC1FTnIyUUQyb0d4V2trbXNUdk1JSEtqbElHOU9kQ1BFZFozNzhPYXFDNVZhUTlNTTNLbmdzMlloV3BrOXNrVmNpSnRQUHVWQ05sUXV2cmo0SkRoRDhPbXR4Q1gxbHNUdW9EVldRVWxmVkx6QWljUE1HZzRkcmlydDA4SWVma1FhcWg5c0Q0ZDVrcGp3bUpMYy0zR1FsdDhkd0ZqN3lvNE1Cdlk?oc=5"" target=""_blank"">Pakhala Bhata to Sol Kadhi: Regional Indian summer foods that cool, nourish, and delight</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha TV</font>",Heatwave,en
